School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
1508,Glenferrie Primary School,Government,Primary,78 - 98 Manningtree Road,Hawthorn,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.033974,-37.824048,6.67,Government,Primary,Inner Eastern Melbourne,Hawthorn,,,
1682,Good Shepherd School,Catholic,Primary,30 Academy Avenue,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.166052,-37.908123,21.40,Catholic,Primary,Inner Eastern Melbourne,Wheelers Hill,,,
4694,Greythorn Primary School,Government,Primary,Reading Avenue,Balwyn North,3104,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.095963,-37.801427,11.57,Government,Primary,Inner Eastern Melbourne,Balwyn North,,,
4055,Hartwell Primary School,Government,Primary,Milverton St,Camberwell,3124,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.084466,-37.848051,11.82,Government,Primary,Inner Eastern Melbourne,Camberwell,,,
293,Hawthorn West Primary School,Government,Primary,2A Wood Street,Hawthorn,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.018377,-37.820112,5.25,Government,Primary,Inner Eastern Melbourne,Hawthorn,,,
4871,Heatherwood School,Government,Special,370-380 Springvale Road,Donvale,3111,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.1780362,-37.80033733,18.78,Government,Special,Inner Eastern Melbourne,Donvale,,,
4986,Highvale Primary School,Government,Primary,33 Ashton Street,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.174068,-37.867021,19.87,Government,Primary,Inner Eastern Melbourne,Glen Waverley,,,
7918,Highvale Secondary College,Government,Secondary,Capital Avenue,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.17682,-37.865409,20.03,Government,Secondary,Inner Eastern Melbourne,Glen Waverley,,,
1565,Holy Family School,Catholic,Primary,250 Stephensons Road,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.129634,-37.874255,16.70,Catholic,Primary,Inner Eastern Melbourne,Mount Waverley,,,
4176,Hughesdale Primary School,Government,Primary,Brine Street,Hughesdale,3166,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.077639,-37.905839,15.40,Government,Primary,Inner Eastern Melbourne,Hughesdale,,,
4716,Huntingdale Primary School,Government,Primary,1 Grange Street,Oakleigh South,3167,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.102359,-37.913075,17.46,Government,Primary,Inner Eastern Melbourne,Oakleigh South,,,
