id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,Custom Field:Education Sector,Custom Field:School Type,Custom Field:Area,Custom Field:Suburb,Custom Field:Nearest Six Secondary,Custom Field:Distance from Melbourne Connect
901910,2,"94 Weidlich Road, Eltham North, 3095",<div><strong>Education sector:</strong> Catholic</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Eltham North</div><div><strong>Distance from Melbourne Connect:</strong> 18.82 km</div>,,,,-37.698439,145.135461,0,Holy Trinity Primary School,0,,1,0,Catholic,Primary,North Eastern Melbourne,Eltham North,No,18.82
903939,2,"961-989 Heidelberg-Kinglake Rd, Hurstbridge, 3099",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Hurstbridge</div><div><strong>Distance from Melbourne Connect:</strong> 27.50 km</div>,,,,-37.635897,145.19812,0,Hurstbridge Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Hurstbridge,No,27.50
902240,2,"326 Church Street, Richmond, 3121",<div><strong>Education sector:</strong> Catholic</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Richmond</div><div><strong>Distance from Melbourne Connect:</strong> 3.86 km</div>,,,,-37.821915,144.998477,0,Ignatius Learning Centre,0,,1,0,Catholic,Secondary,North Eastern Melbourne,Richmond,No,3.86
904386,2,"35 Warncliffe Road, Ivanhoe East, 3079",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Ivanhoe East</div><div><strong>Distance from Melbourne Connect:</strong> 8.83 km</div>,,,,-37.774587,145.059453,0,Ivanhoe East Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Ivanhoe East,No,8.83
901187,2,"123 Marshall St, Ivanhoe, 3079",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Pri/Sec</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Ivanhoe</div><div><strong>Distance from Melbourne Connect:</strong> 8.21 km</div>,,,,-37.765273,145.046721,0,Ivanhoe Girls' Grammar School,0,,1,0,Independent,Pri/Sec,North Eastern Melbourne,Ivanhoe,No,8.21
901004,2,"The Ridgeway, Ivanhoe, 3079",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Pri/Sec</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Ivanhoe</div><div><strong>Distance from Melbourne Connect:</strong> 7.68 km</div>,,,,-37.772515,145.044477,0,Ivanhoe Grammar School,0,,1,0,Independent,Pri/Sec,North Eastern Melbourne,Ivanhoe,No,7.68
902436,2,"124 Waterdale Road, Ivanhoe, 3079",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Ivanhoe</div><div><strong>Distance from Melbourne Connect:</strong> 7.86 km</div>,,,,-37.766573,145.04298,0,Ivanhoe Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Ivanhoe,No,7.86
902105,2,"Cr Graham&Eltham-Yarra Glen Rd, Kangaroo Ground, 3097",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Kangaroo Ground</div><div><strong>Distance from Melbourne Connect:</strong> 25.09 km</div>,,,,-37.691737,145.214656,0,Kangaroo Ground Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Kangaroo Ground,No,25.09
904845,2,"1A Maryborough Avenue, Kingsbury, 3083",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Kingsbury</div><div><strong>Distance from Melbourne Connect:</strong> 11.33 km</div>,,,,-37.716025,145.037204,0,Kingsbury Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Kingsbury,No,11.33
904976,2,"39 Cleveland Street, Thomastown, 3074",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Thomastown</div><div><strong>Distance from Melbourne Connect:</strong> 15.10 km</div>,,,,-37.67658,145.035535,0,Lalor East Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Thomastown,No,15.10
905532,2,"134 Kingsway Drive, Lalor, 3075",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Lalor</div><div><strong>Distance from Melbourne Connect:</strong> 15.51 km</div>,,,,-37.66369312,145.0013492,0,Lalor Gardens Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Lalor,No,15.51
905035,2,"2 Derna Crescent, Lalor, 3075",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Lalor</div><div><strong>Distance from Melbourne Connect:</strong> 16.14 km</div>,,,,-37.66415051,145.0285352,0,Lalor North Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Lalor,No,16.14
907986,2,"114 Childs Road, Epping, 3076",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Epping</div><div><strong>Distance from Melbourne Connect:</strong> 16.67 km</div>,,,,-37.660767,145.034124,0,Lalor North Secondary College,0,,1,0,Government,Secondary,North Eastern Melbourne,Epping,No,16.67
904709,2,"26 Maxwell Street, Lalor, 3075",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Lalor</div><div><strong>Distance from Melbourne Connect:</strong> 15.42 km</div>,,,,-37.670077,145.025391,0,Lalor Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Lalor,No,15.42
907985,2,"118 David Street, Lalor, 3075",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Lalor</div><div><strong>Distance from Melbourne Connect:</strong> 15.32 km</div>,,,,-37.67265939,145.0306228,0,Lalor Secondary College,0,,1,0,Government,Secondary,North Eastern Melbourne,Lalor,No,15.32
905497,2,"Armidale Road, Doreen, 3754",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Doreen</div><div><strong>Distance from Melbourne Connect:</strong> 27.79 km</div>,,,,-37.585823,145.126874,0,Laurimar Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Doreen,No,27.79
901721,2,"10 Laceys Road, Cottles Bridge, 3099",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Cottles Bridge</div><div><strong>Distance from Melbourne Connect:</strong> 28.99 km</div>,,,,-37.62939233,145.2133347,0,Learning Co-Operative School,0,,1,0,Independent,Primary,North Eastern Melbourne,Cottles Bridge,No,28.99
901295,2,"126-144 Main Road, Lower Plenty, 3093",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Lower Plenty</div><div><strong>Distance from Melbourne Connect:</strong> 15.63 km</div>,,,,-37.726172,145.115498,0,Lower Plenty Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Lower Plenty,No,15.63
901810,2,"325 Grimshaw Street, Watsonia, 3087",<div><strong>Education sector:</strong> Catholic</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Watsonia</div><div><strong>Distance from Melbourne Connect:</strong> 14.85 km</div>,,,,-37.703396,145.08073,0,Loyola College,0,,1,0,Catholic,Secondary,North Eastern Melbourne,Watsonia,No,14.85
